               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.048586,            0.054856,            0.039949,             0.74899,             0.74178,             0.86673,             0.47306,            0.037704,            0.047125,            0.038832,           0.0015845,           0.0015845,           0.0015845
                  71,            0.051634,            0.065402,            0.039631,              0.7599,             0.74668,             0.85798,             0.47036,            0.040246,            0.047311,            0.038737,            0.001535,            0.001535,            0.001535
                  72,             0.05046,            0.059807,            0.039531,             0.72885,              0.7525,             0.88034,              0.4882,            0.036367,             0.04644,            0.038605,           0.0014855,           0.0014855,           0.0014855
                  73,            0.050109,            0.055759,            0.039655,             0.73678,              0.7525,             0.85984,             0.48363,            0.039497,            0.046753,            0.038482,            0.001436,            0.001436,            0.001436
                  74,            0.048666,            0.060448,            0.039248,              0.7084,             0.76156,             0.87543,              0.4827,            0.035314,            0.045391,            0.038344,           0.0013865,           0.0013865,           0.0013865
                  75,            0.048719,             0.05272,            0.039259,              0.7223,             0.77178,             0.85959,             0.48549,            0.038634,            0.046106,            0.038233,            0.001337,            0.001337,            0.001337
                  76,            0.048676,            0.054324,             0.03925,             0.69939,             0.82321,             0.85914,              0.4817,            0.034798,            0.044481,            0.038041,           0.0012875,           0.0012875,           0.0012875
                  77,            0.052917,            0.065932,            0.039442,             0.69913,             0.83498,             0.87248,             0.51184,            0.037254,            0.045464,            0.037986,            0.001238,            0.001238,            0.001238
                  78,            0.050874,            0.063025,            0.038908,             0.68765,             0.86447,             0.87956,             0.50472,            0.034291,            0.044108,            0.037843,           0.0011885,           0.0011885,           0.0011885
                  79,            0.050978,            0.070364,            0.038984,             0.70723,              0.8625,             0.87497,             0.50397,            0.036587,            0.044836,            0.037787,            0.001139,            0.001139,            0.001139
                  80,            0.051925,            0.067416,            0.039051,             0.69432,             0.87338,             0.87534,             0.51652,            0.033771,             0.04368,            0.037672,           0.0010895,           0.0010895,           0.0010895
                  81,            0.047359,            0.057346,            0.038847,             0.70054,             0.87647,             0.87078,             0.51883,            0.035213,            0.044086,            0.037585,             0.00104,             0.00104,             0.00104
                  82,            0.046951,            0.053886,            0.038543,             0.68883,              0.8775,             0.85967,             0.49207,            0.033088,            0.043184,            0.037409,           0.0009905,           0.0009905,           0.0009905
                  83,            0.045664,            0.056959,            0.038461,             0.68964,              0.8725,              0.8498,             0.50626,            0.034533,            0.043694,             0.03732,            0.000941,            0.000941,            0.000941
                  84,            0.047181,            0.060921,            0.038593,             0.68855,              0.8775,             0.86526,             0.52804,            0.032446,            0.042748,             0.03723,           0.0008915,           0.0008915,           0.0008915
                  85,            0.046983,            0.060883,            0.038359,             0.68982,               0.875,             0.86348,             0.51256,            0.034155,            0.043266,            0.037131,            0.000842,            0.000842,            0.000842
                  86,            0.044381,             0.06097,             0.03804,             0.71115,             0.87598,             0.87632,             0.56136,            0.032359,             0.04265,            0.037088,           0.0007925,           0.0007925,           0.0007925
                  87,            0.042914,            0.059928,            0.037895,             0.71434,             0.87477,             0.87549,             0.52475,            0.032802,            0.042566,            0.036985,            0.000743,            0.000743,            0.000743
                  88,            0.047107,            0.057091,            0.038228,             0.72749,             0.87025,             0.87098,             0.54944,            0.031957,            0.042106,            0.036904,           0.0006935,           0.0006935,           0.0006935
                  89,            0.044862,             0.05644,            0.037966,             0.71387,               0.875,              0.8702,              0.5594,            0.031689,             0.04178,             0.03679,            0.000644,            0.000644,            0.000644
                  90,            0.048204,            0.060594,            0.037854,             0.72294,               0.875,             0.87465,             0.55978,            0.031157,            0.041642,            0.036697,           0.0005945,           0.0005945,           0.0005945
                  91,            0.045612,            0.060091,            0.037772,             0.71627,                0.88,             0.87567,             0.55186,            0.031397,             0.04164,            0.036589,            0.000545,            0.000545,            0.000545
                  92,             0.04497,            0.060348,            0.038028,             0.72955,               0.885,             0.88788,              0.5787,            0.030438,            0.041165,            0.036525,           0.0004955,           0.0004955,           0.0004955
                  93,            0.048524,             0.05881,             0.03776,             0.72162,               0.885,             0.88925,             0.56889,            0.031382,             0.04172,            0.036454,            0.000446,            0.000446,            0.000446
                  94,             0.04113,            0.054092,            0.037591,             0.70389,               0.885,             0.88022,             0.56179,            0.030589,            0.041279,            0.036338,           0.0003965,           0.0003965,           0.0003965
                  95,             0.04238,            0.053553,            0.037526,             0.69731,             0.88299,             0.87895,             0.55956,             0.03037,            0.041178,            0.036275,            0.000347,            0.000347,            0.000347
                  96,            0.043358,             0.05445,            0.037367,             0.69964,              0.8825,             0.87766,             0.56212,            0.030815,            0.041398,            0.036223,           0.0002975,           0.0002975,           0.0002975
                  97,            0.045005,            0.055539,             0.03736,             0.69418,              0.8775,             0.87446,             0.55632,            0.030462,            0.041179,             0.03615,            0.000248,            0.000248,            0.000248
                  98,            0.041988,            0.053757,            0.036978,             0.69667,             0.87716,             0.87548,             0.56584,            0.030092,            0.040991,            0.036105,           0.0001985,           0.0001985,           0.0001985
                  99,            0.045558,            0.063287,             0.03758,             0.70134,             0.87766,               0.879,             0.57138,            0.029929,            0.040891,            0.036073,            0.000149,            0.000149,            0.000149
