epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,403.5,0.35875,0.21631,0.78842,0.99927,1,0.995,0.92873,0.42287,0.20403,0.75101,0.001684,0.001684,0.001684
86,408.128,0.35872,0.21287,0.79439,0.99879,1,0.995,0.95171,0.35779,0.19855,0.74341,0.001585,0.001585,0.001585
87,412.651,0.35386,0.21416,0.79727,0.99865,1,0.995,0.94313,0.39587,0.20503,0.75336,0.001486,0.001486,0.001486
88,417.233,0.34315,0.20828,0.78898,0.99848,1,0.995,0.95384,0.33211,0.18517,0.74014,0.001387,0.001387,0.001387
89,421.78,0.3514,0.2088,0.79588,0.99868,1,0.995,0.94981,0.35979,0.19111,0.74584,0.001288,0.001288,0.001288
90,426.379,0.33134,0.20477,0.7899,0.99887,1,0.995,0.95618,0.3387,0.18529,0.74449,0.001189,0.001189,0.001189
91,484.609,0.37261,0.21877,0.80714,0.99849,1,0.995,0.95128,0.36075,0.19989,0.74806,0.00109,0.00109,0.00109
92,489.158,0.36215,0.2182,0.79767,0.99847,1,0.995,0.946,0.34478,0.19683,0.74198,0.000991,0.000991,0.000991
93,493.723,0.35601,0.21117,0.79648,0.99848,1,0.995,0.94607,0.33553,0.18833,0.73963,0.000892,0.000892,0.000892
94,498.356,0.35947,0.2107,0.79476,0.99841,1,0.995,0.9587,0.31684,0.18464,0.73958,0.000793,0.000793,0.000793
95,502.967,0.35665,0.21075,0.80896,0.99844,1,0.995,0.95765,0.33341,0.1848,0.74131,0.000694,0.000694,0.000694
96,507.555,0.3361,0.20263,0.79966,0.99866,1,0.995,0.96444,0.31831,0.18184,0.73945,0.000595,0.000595,0.000595
97,512.174,0.32705,0.20161,0.79487,0.99867,1,0.995,0.96677,0.30154,0.17786,0.73758,0.000496,0.000496,0.000496
98,516.787,0.32759,0.19667,0.79517,0.99859,1,0.995,0.96853,0.31476,0.1795,0.7382,0.000397,0.000397,0.000397
99,521.656,0.32182,0.19069,0.7921,0.99852,1,0.995,0.96626,0.32209,0.18105,0.73867,0.000298,0.000298,0.000298
100,526.273,0.32899,0.19435,0.7964,0.99904,1,0.995,0.96861,0.31745,0.18101,0.73817,0.000199,0.000199,0.000199
