epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,23428.3,1.37251,0.69827,1.48687,0.93075,0.94421,0.95882,0.52106,1.64476,0.58174,1.68845,0.002872,0.002872,0.002872
74,23750.8,1.36987,0.69587,1.48545,0.93042,0.94426,0.9587,0.52068,1.64579,0.5814,1.68915,0.002773,0.002773,0.002773
75,24073.6,1.36828,0.69562,1.48474,0.93202,0.94305,0.95878,0.52058,1.64694,0.58093,1.68994,0.002674,0.002674,0.002674
76,24396.2,1.35882,0.6867,1.48009,0.9313,0.94458,0.95874,0.52048,1.64836,0.58047,1.69086,0.002575,0.002575,0.002575
77,24719,1.35499,0.68182,1.47504,0.93278,0.94186,0.95866,0.5201,1.64969,0.58013,1.69182,0.002476,0.002476,0.002476
78,25041.5,1.34664,0.6809,1.47004,0.93153,0.94355,0.95838,0.51976,1.65106,0.57991,1.69267,0.002377,0.002377,0.002377
79,25362.7,1.3434,0.68019,1.46618,0.93186,0.94342,0.95838,0.51949,1.65239,0.57967,1.69363,0.002278,0.002278,0.002278
80,25683.3,1.33865,0.6801,1.46231,0.93099,0.94443,0.95841,0.51989,1.6538,0.57899,1.6946,0.002179,0.002179,0.002179
81,26003.9,1.33042,0.67393,1.45907,0.93064,0.94441,0.95831,0.51923,1.65517,0.57908,1.69553,0.00208,0.00208,0.00208
82,26324.3,1.32638,0.6679,1.45481,0.93168,0.94241,0.95816,0.51853,1.65671,0.57873,1.69668,0.001981,0.001981,0.001981
83,26645.1,1.32017,0.66613,1.4485,0.93233,0.9418,0.95822,0.5183,1.65843,0.57824,1.69798,0.001882,0.001882,0.001882
84,26965.7,1.31351,0.66363,1.44626,0.93279,0.94126,0.95805,0.51776,1.66016,0.57798,1.69928,0.001783,0.001783,0.001783
85,27286.4,1.30914,0.65702,1.44202,0.93321,0.94113,0.95826,0.51776,1.66199,0.57774,1.70056,0.001684,0.001684,0.001684
86,27607,1.30418,0.6574,1.43702,0.93252,0.94167,0.95772,0.51772,1.66362,0.57753,1.70177,0.001585,0.001585,0.001585
87,27927.7,1.29472,0.6546,1.43579,0.93253,0.94151,0.95778,0.5172,1.66557,0.57728,1.70326,0.001486,0.001486,0.001486
88,28248.3,1.28939,0.65101,1.42835,0.93223,0.94123,0.95753,0.51738,1.66747,0.57692,1.70466,0.001387,0.001387,0.001387
89,28569,1.28449,0.6481,1.42386,0.93158,0.94283,0.95771,0.51656,1.66921,0.57677,1.70607,0.001288,0.001288,0.001288
90,28889.4,1.28,0.64436,1.41973,0.93253,0.94129,0.95754,0.5159,1.67114,0.57643,1.70755,0.001189,0.001189,0.001189
91,29210,1.27711,0.44361,1.46021,0.93214,0.94142,0.95741,0.51526,1.67281,0.57627,1.70902,0.00109,0.00109,0.00109
92,29529.7,1.25357,0.43534,1.44374,0.93208,0.94145,0.95762,0.51489,1.67442,0.57606,1.71049,0.000991,0.000991,0.000991
93,29849.1,1.24415,0.4321,1.43449,0.93155,0.94189,0.9577,0.51472,1.67614,0.57567,1.71204,0.000892,0.000892,0.000892
94,30168.6,1.23371,0.42768,1.42541,0.9311,0.94285,0.95738,0.51397,1.67807,0.57557,1.71381,0.000793,0.000793,0.000793
95,30488.1,1.22424,0.42482,1.41954,0.93285,0.94016,0.95732,0.5133,1.67995,0.57534,1.71596,0.000694,0.000694,0.000694
96,30807.7,1.21483,0.42202,1.41343,0.93214,0.94071,0.9575,0.51318,1.68176,0.57512,1.71765,0.000595,0.000595,0.000595
97,31127.2,1.20685,0.42575,1.40981,0.93205,0.94009,0.95717,0.51304,1.6839,0.57478,1.71979,0.000496,0.000496,0.000496
98,31446.5,1.19659,0.41729,1.40106,0.93231,0.9395,0.95709,0.51234,1.68595,0.57471,1.72215,0.000397,0.000397,0.000397
99,31766.1,1.18987,0.41346,1.39785,0.93245,0.93873,0.95683,0.51174,1.68796,0.57481,1.72424,0.000298,0.000298,0.000298
100,32085.7,1.18125,0.41185,1.39054,0.93287,0.93845,0.95646,0.51149,1.68994,0.5748,1.72646,0.000199,0.000199,0.000199
