               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,           0.0095314,            0.012638,          0.00029471,             0.99882,             0.99771,             0.99467,             0.94075,           0.0086546,            0.011796,          0.00023853,            0.001288,            0.001288,            0.001288
                  90,           0.0094982,            0.012731,          0.00028847,             0.99886,             0.99771,             0.99467,             0.94078,           0.0086464,            0.011783,          0.00023672,            0.001189,            0.001189,            0.001189
                  91,           0.0094113,            0.012551,           0.0002853,             0.99883,             0.99773,             0.99467,             0.94075,            0.008638,            0.011777,           0.0002352,             0.00109,             0.00109,             0.00109
                  92,           0.0093873,             0.01255,          0.00028295,             0.99884,             0.99773,             0.99467,             0.94104,            0.008629,            0.011758,          0.00023389,            0.000991,            0.000991,            0.000991
                  93,           0.0093387,            0.012517,          0.00028388,             0.99887,             0.99769,             0.99468,             0.94101,            0.008621,            0.011742,          0.00023271,            0.000892,            0.000892,            0.000892
                  94,           0.0092963,            0.012486,          0.00028984,             0.99881,              0.9977,             0.99468,             0.94132,           0.0086119,            0.011737,          0.00023156,            0.000793,            0.000793,            0.000793
                  95,           0.0092622,            0.012437,            0.000279,              0.9988,             0.99766,             0.99468,             0.94155,           0.0086036,            0.011731,          0.00023051,            0.000694,            0.000694,            0.000694
                  96,           0.0091379,            0.012267,          0.00027102,             0.99884,             0.99759,             0.99469,             0.94171,            0.008594,            0.011721,           0.0002295,            0.000595,            0.000595,            0.000595
                  97,           0.0091673,            0.012304,          0.00027197,             0.99878,             0.99765,             0.99468,             0.94185,           0.0085847,            0.011712,          0.00022865,            0.000496,            0.000496,            0.000496
                  98,           0.0091074,            0.012169,          0.00026688,             0.99885,             0.99766,             0.99469,             0.94198,           0.0085772,            0.011701,          0.00022789,            0.000397,            0.000397,            0.000397
                  99,           0.0090266,            0.012069,          0.00027465,             0.99885,             0.99762,              0.9947,             0.94221,           0.0085713,            0.011701,          0.00022717,            0.000298,            0.000298,            0.000298
